name,email,date_of_birth,a_timestamp,enty_type,transaction_id,user_id,amount,transaction_date
john5,john5@gmail.com,2008-06-05,2024-01-0 12:22:1234,D,99995,1115,1500.5,2024-01-09
john5,john5@gmail.com,2008-06-05,2024-01-0 12:22:1234,D,99995,1115,1500.5,2024-01-09
john6,john6@gmail.com,2007-07-06,2024-05-11 12:22:1234,D,99996,1116,1600.5,2024-05-11
john6,john6@gmail.com,2007-07-06,2024-05-11 12:22:1234,D,99996,1116,1600.5,2024-05-11
john6,john6@gmail.com,2007-07-06,2024-05-11 12:22:1234,D,99996,1116,1600.5,2024-05-11
john6,john6@gmail.com,2007-07-06,2024-05-11 12:22:1234,D,99996,1116,1600.5,2024-05-11
john7,john7@gmail.com,2011-08-07,2024-02-14 12:22:1234,I,99997,1117,1700.5,2024-02-14
john7,john7@gmail.com,2011-08-07,2024-02-14 12:22:1234,I,99997,1117,1700.5,2024-02-14
john7,john7@gmail.com,2011-08-07,2024-02-14 12:22:1234,I,99997,1117,1700.5,2024-02-14
john7,john7@gmail.com,2011-08-07,2024-02-14 12:22:1234,I,99997,1117,1700.5,2024-02-14
john8,john8@gmail.com,2007-09-08,2024-04-23 12:22:1234,I,99998,1118,1800.5,2024-04-23
john8,john8@gmail.com,2007-09-08,2024-04-23 12:22:1234,I,99998,1118,1800.5,2024-04-23
john8,john8@gmail.com,2007-09-08,2024-04-23 12:22:1234,I,99998,1118,1800.5,2024-04-23
john8,john8@gmail.com,2007-09-08,2024-04-23 12:22:1234,I,99998,1118,1800.5,2024-04-23
john9,john9@gmail.com,2008-10-09,2024-01-18 12:22:1234,I,99999,1119,1900.5,2024-01-18
john9,john9@gmail.com,2008-10-09,2024-01-18 12:22:1234,I,99999,1119,1900.5,2024-01-18
john9,john9@gmail.com,2008-10-09,2024-01-18 12:22:1234,I,99999,1119,1900.5,2024-01-18
john9,john9@gmail.com,2008-10-09,2024-01-18 12:22:1234,I,99999,1119,1900.5,2024-01-18
john10,john10@gmail.com,2009-11-12,2024-02-27 12:22:1234,I,100000,1120,2000.5,2024-02-27
john10,john10@gmail.com,2009-11-12,2024-02-27 12:22:1234,I,100000,1120,2000.5,2024-02-27
john10,john10@gmail.com,2009-11-12,2024-02-27 12:22:1234,I,100000,1120,2000.5,2024-02-27
john10,john10@gmail.com,2009-11-12,2024-02-27 12:22:1234,I,100000,1120,2000.5,2024-02-27
